Timestamp (UTC_TIME),XBH4.EXPT.NP04.012:COUNTS,XBH4.GENERALTRIGGER:TIMESTAMP_COUNT
2018-10-28 04:24:04.935,0,0
2018-10-28 04:24:26.535,0,0
2018-10-28 04:24:48.135,0,0
2018-10-28 04:25:09.735,0,0
2018-10-28 04:25:31.335,0,0
2018-10-28 04:25:52.935,0,0
2018-10-28 04:26:14.535,0,0
2018-10-28 04:26:36.135,0,0
2018-10-28 04:26:57.735,1,1
2018-10-28 04:27:19.335,0,0
2018-10-28 04:27:40.935,0,0
2018-10-28 04:28:02.535,0,0
2018-10-28 04:28:24.135,1,1
2018-10-28 04:28:45.735,0,0
2018-10-28 04:29:07.335,0,0
2018-10-28 04:29:28.935,0,0
2018-10-28 04:29:50.535,0,0
2018-10-28 04:30:12.135,0,0
2018-10-28 04:30:33.735,0,0
2018-10-28 04:30:55.335,0,0
2018-10-28 04:31:16.935,0,0
2018-10-28 04:31:38.535,0,0
2018-10-28 04:32:00.135,0,0
2018-10-28 04:32:21.735,0,0
2018-10-28 04:32:43.335,0,0
2018-10-28 04:33:04.935,0,0
2018-10-28 04:33:26.535,0,0
2018-10-28 04:33:48.135,0,0
2018-10-28 04:34:09.735,0,0
2018-10-28 04:34:31.335,0,0
2018-10-28 04:34:52.935,0,0
2018-10-28 04:35:14.535,0,0
2018-10-28 04:35:36.135,0,0
2018-10-28 04:35:57.735,0,0
2018-10-28 04:36:19.335,0,0
2018-10-28 04:36:40.935,0,0
2018-10-28 04:37:02.535,0,0
2018-10-28 04:37:24.135,0,0
2018-10-28 04:37:45.735,0,0
2018-10-28 04:38:07.335,0,0
2018-10-28 04:38:28.935,0,0
2018-10-28 04:38:50.535,0,0
2018-10-28 04:39:12.135,0,0
2018-10-28 04:39:33.735,0,0
2018-10-28 04:39:55.335,0,0
2018-10-28 04:40:16.935,0,0
2018-10-28 04:40:38.535,0,0
2018-10-28 04:41:00.135,0,0
2018-10-28 04:41:21.735,0,0
2018-10-28 04:41:43.335,0,0
2018-10-28 04:42:04.935,0,0
2018-10-28 04:42:26.535,1,1
2018-10-28 04:42:48.135,0,0
2018-10-28 04:43:09.735,0,0
2018-10-28 04:43:31.335,0,0
2018-10-28 04:43:52.935,0,0
2018-10-28 04:44:14.535,0,0
2018-10-28 04:44:36.135,0,0
2018-10-28 04:44:57.735,0,0
2018-10-28 04:45:19.335,0,0
2018-10-28 04:45:40.935,0,0
2018-10-28 04:46:02.535,0,0
2018-10-28 04:46:24.135,0,0
2018-10-28 04:46:45.735,0,0
2018-10-28 04:47:07.335,0,0
2018-10-28 04:47:28.935,0,0
2018-10-28 04:47:50.535,0,0
2018-10-28 04:48:12.135,0,0
2018-10-28 04:48:33.735,1,1
2018-10-28 04:48:55.335,1,1
2018-10-28 04:49:16.935,0,0
2018-10-28 04:49:38.535,0,0
2018-10-28 04:50:00.135,0,0
2018-10-28 04:50:21.735,0,0
2018-10-28 04:50:43.335,0,0
2018-10-28 04:51:04.935,0,0
2018-10-28 04:51:26.535,0,0
2018-10-28 04:51:48.135,0,0
2018-10-28 04:52:09.735,0,0
2018-10-28 04:52:31.335,0,0
2018-10-28 04:52:52.935,0,0
2018-10-28 04:53:14.535,0,0
2018-10-28 04:53:36.135,0,0
2018-10-28 04:53:57.735,0,0
2018-10-28 04:54:19.335,0,0
2018-10-28 04:54:40.935,0,0
2018-10-28 04:55:02.535,0,0
2018-10-28 04:55:24.135,0,0
2018-10-28 04:55:45.735,0,0
2018-10-28 04:56:07.335,0,0
2018-10-28 04:56:28.935,0,0
2018-10-28 04:56:50.535,0,0
2018-10-28 04:57:12.135,0,0
2018-10-28 04:57:33.735,0,0
2018-10-28 04:57:55.335,0,0
2018-10-28 04:58:16.935,0,0
2018-10-28 04:58:38.535,0,0
2018-10-28 04:59:00.135,0,0
2018-10-28 04:59:21.735,0,0
2018-10-28 04:59:43.335,0,0
2018-10-28 05:00:04.935,1,1
2018-10-28 05:00:26.535,0,0
2018-10-28 05:00:48.135,0,0
2018-10-28 05:01:09.735,0,0
2018-10-28 05:01:31.335,0,0
2018-10-28 05:01:52.935,0,0
2018-10-28 05:02:14.535,0,0
2018-10-28 05:02:36.135,0,0
2018-10-28 05:02:57.735,0,0
2018-10-28 05:03:19.335,0,0
2018-10-28 05:03:40.935,0,0
2018-10-28 05:04:02.535,0,0
2018-10-28 05:04:24.135,0,0
2018-10-28 05:04:45.735,0,0
2018-10-28 05:05:07.335,0,0
2018-10-28 05:05:28.935,0,0
2018-10-28 05:05:50.535,1,1
2018-10-28 05:06:12.135,0,0
2018-10-28 05:06:33.735,0,0
2018-10-28 05:06:55.335,0,0
2018-10-28 05:07:16.935,0,0
2018-10-28 05:07:38.535,0,0
2018-10-28 05:08:00.135,0,0
2018-10-28 05:08:21.735,0,0
2018-10-28 05:08:43.335,0,0
2018-10-28 05:09:04.935,0,0
2018-10-28 05:09:26.535,0,0
2018-10-28 05:09:48.135,0,0
2018-10-28 05:10:09.735,0,0
2018-10-28 05:10:31.335,0,0
2018-10-28 05:10:52.935,0,0
2018-10-28 05:11:14.535,1,1
2018-10-28 05:11:36.135,0,0
2018-10-28 05:11:57.735,0,0
2018-10-28 05:12:19.335,0,0
2018-10-28 05:12:40.935,0,0
2018-10-28 05:13:02.535,0,0
2018-10-28 05:13:24.135,0,0
2018-10-28 05:13:45.735,0,0
2018-10-28 05:14:07.335,0,0
2018-10-28 05:14:28.935,0,0
2018-10-28 05:14:50.535,0,0
2018-10-28 05:15:12.135,0,0
2018-10-28 05:15:33.735,0,0
2018-10-28 05:15:55.335,0,0
2018-10-28 05:16:16.935,0,0
2018-10-28 05:16:38.535,0,0
2018-10-28 05:17:00.135,0,0
2018-10-28 05:17:21.735,0,0
2018-10-28 05:17:43.335,0,0
2018-10-28 05:18:04.935,1,1
2018-10-28 05:18:26.535,0,0
2018-10-28 05:18:48.135,0,0
2018-10-28 05:19:09.735,0,0
2018-10-28 05:19:31.335,0,0
2018-10-28 05:19:52.935,0,0
2018-10-28 05:20:14.535,0,0
2018-10-28 05:20:36.135,0,0
2018-10-28 05:20:57.735,0,0
2018-10-28 05:21:19.335,0,0
2018-10-28 05:21:40.935,0,0
2018-10-28 05:22:02.535,0,0
2018-10-28 05:22:24.135,0,0
2018-10-28 05:22:45.735,0,0
2018-10-28 05:23:07.335,0,0
2018-10-28 05:23:28.935,1,1
2018-10-28 05:23:50.535,0,0
2018-10-28 05:24:12.135,0,0
2018-10-28 05:24:33.735,0,0
2018-10-28 05:24:55.335,0,0
2018-10-28 05:25:16.935,0,0
2018-10-28 05:25:38.535,0,0
2018-10-28 05:26:00.135,0,0
2018-10-28 05:26:21.735,0,0
2018-10-28 05:26:43.335,0,0
2018-10-28 05:27:04.935,0,0
2018-10-28 05:27:26.535,0,0
2018-10-28 05:27:48.135,0,0
2018-10-28 05:28:09.735,1,1
2018-10-28 05:28:31.335,0,0
2018-10-28 05:28:52.935,0,0
2018-10-28 05:29:14.535,1,1
2018-10-28 05:29:36.135,0,0
2018-10-28 05:29:57.735,0,0
2018-10-28 05:30:19.335,0,0
2018-10-28 05:30:40.935,0,0
2018-10-28 05:31:02.535,0,0
2018-10-28 05:31:24.135,0,0
2018-10-28 05:31:45.735,0,0
2018-10-28 05:32:07.335,0,0
2018-10-28 05:32:28.935,0,0
2018-10-28 05:32:50.535,0,0
2018-10-28 05:33:12.135,0,0
2018-10-28 05:33:33.735,0,0
2018-10-28 05:33:55.335,0,0
2018-10-28 05:34:16.935,0,0
2018-10-28 05:34:38.535,0,0
2018-10-28 05:35:00.135,0,0
2018-10-28 05:35:21.735,0,0
2018-10-28 05:35:43.335,0,0
2018-10-28 05:36:04.935,0,0
2018-10-28 05:36:26.535,0,0
2018-10-28 05:36:48.135,1,1
2018-10-28 05:37:09.735,0,0
2018-10-28 05:37:31.335,0,0
2018-10-28 05:37:52.935,0,0
2018-10-28 05:38:14.535,0,0
2018-10-28 05:38:36.135,0,0
2018-10-28 05:38:57.735,0,0
2018-10-28 05:39:19.335,0,0
2018-10-28 05:39:40.935,0,0
2018-10-28 05:40:02.535,0,0
2018-10-28 05:40:24.135,0,0
2018-10-28 05:40:45.735,0,0
2018-10-28 05:41:07.335,0,0
2018-10-28 05:41:28.935,0,0
2018-10-28 05:41:50.535,0,0
2018-10-28 05:42:12.135,0,0
2018-10-28 05:42:33.735,0,0
2018-10-28 05:42:55.335,0,0
2018-10-28 05:43:16.935,0,0
2018-10-28 05:43:38.535,0,0
2018-10-28 05:44:00.135,0,0
2018-10-28 05:44:21.735,1,1
2018-10-28 05:44:43.335,0,0
2018-10-28 05:45:04.935,0,0
2018-10-28 05:45:26.535,0,0
2018-10-28 05:45:48.135,0,0
2018-10-28 05:46:09.735,0,0
2018-10-28 05:46:31.335,0,0
2018-10-28 05:46:52.935,0,0
2018-10-28 05:47:14.535,0,0
2018-10-28 05:47:36.135,0,0
2018-10-28 05:47:57.735,0,0
2018-10-28 05:48:19.335,0,0
2018-10-28 05:48:40.935,1,1
2018-10-28 05:49:02.535,0,0
2018-10-28 05:49:24.135,0,0
2018-10-28 05:49:45.735,0,0
2018-10-28 05:50:07.335,0,0
2018-10-28 05:50:28.935,0,0
2018-10-28 05:50:50.535,0,0
2018-10-28 05:51:12.135,0,0
2018-10-28 05:51:33.735,0,0
2018-10-28 05:51:55.335,0,0
2018-10-28 05:52:16.935,0,0
2018-10-28 05:52:38.535,0,0
2018-10-28 05:53:00.135,0,0
2018-10-28 05:53:21.735,0,0
2018-10-28 05:53:43.335,0,0
2018-10-28 05:54:04.935,0,0
2018-10-28 05:54:26.535,0,0
2018-10-28 05:54:48.135,1,1
2018-10-28 05:55:09.735,0,0
2018-10-28 05:55:31.335,0,0
2018-10-28 05:55:52.935,1,1
2018-10-28 05:56:14.535,0,0
2018-10-28 05:56:36.135,0,0
2018-10-28 05:56:57.735,1,1
2018-10-28 05:57:19.335,0,0
2018-10-28 05:57:40.935,0,0
2018-10-28 05:58:02.535,0,0
2018-10-28 05:58:24.135,0,0
2018-10-28 05:58:45.735,0,0
2018-10-28 05:59:07.335,0,0
2018-10-28 05:59:28.935,0,0
2018-10-28 05:59:50.535,0,0
2018-10-28 06:00:12.135,0,0
2018-10-28 06:00:33.735,0,0
2018-10-28 06:00:55.335,0,0
2018-10-28 06:01:16.935,1,1
2018-10-28 06:01:38.535,0,0
2018-10-28 06:02:00.135,0,0
2018-10-28 06:02:21.735,0,0
2018-10-28 06:02:43.335,0,0
2018-10-28 06:03:04.935,1,1
2018-10-28 06:03:26.535,0,0
2018-10-28 06:03:48.135,0,0
2018-10-28 06:04:09.735,0,0
2018-10-28 06:04:31.335,0,0
2018-10-28 06:04:52.935,0,0
2018-10-28 06:05:14.535,0,0
2018-10-28 06:05:36.135,0,0
2018-10-28 06:05:57.735,0,0
2018-10-28 06:06:19.335,0,0
2018-10-28 06:06:40.935,0,0
2018-10-28 06:07:02.535,0,0
2018-10-28 06:07:24.135,1,1
2018-10-28 06:07:45.735,0,0
2018-10-28 06:08:07.335,0,0
2018-10-28 06:08:28.935,0,0
2018-10-28 06:08:50.535,0,0
2018-10-28 06:09:12.135,0,0
2018-10-28 06:09:33.735,0,0
2018-10-28 06:09:55.335,0,0
2018-10-28 06:10:16.935,0,0
2018-10-28 06:10:38.535,0,0
2018-10-28 06:11:00.135,0,0
2018-10-28 06:11:21.735,0,0
2018-10-28 06:11:43.335,0,0
2018-10-28 06:12:04.935,0,0
2018-10-28 06:12:26.535,0,0
