5777,physics,"Sun, 04 Nov 2018 11:23:41 GMT","Sun, 04 Nov 2018 19:45:40 GMT",65668
5776,physics,"Sun, 04 Nov 2018 05:54:53 GMT","Sun, 04 Nov 2018 11:01:12 GMT",54578
5775,physics,"Sun, 04 Nov 2018 03:09:47 GMT","Sun, 04 Nov 2018 05:21:54 GMT",25988
5774,physics,"Sat, 03 Nov 2018 22:07:21 GMT","Sun, 04 Nov 2018 02:58:45 GMT",45515
5773,physics,"Sat, 03 Nov 2018 18:04:51 GMT","Sat, 03 Nov 2018 22:00:44 GMT",34178
5772,physics,"Sat, 03 Nov 2018 15:28:03 GMT","Sat, 03 Nov 2018 17:56:39 GMT",24550
5771,physics,"Sat, 03 Nov 2018 08:05:48 GMT","Sat, 03 Nov 2018 14:57:25 GMT",97488
5770,physics,"Sat, 03 Nov 2018 00:40:31 GMT","Sat, 03 Nov 2018 07:42:37 GMT",108102
5769,physics,"Fri, 02 Nov 2018 21:57:29 GMT","Sat, 03 Nov 2018 00:31:11 GMT",39927
5768,physics,"Fri, 02 Nov 2018 21:42:48 GMT","Fri, 02 Nov 2018 21:52:30 GMT",1707
5767,physics,"Fri, 02 Nov 2018 21:38:20 GMT","Fri, 02 Nov 2018 21:38:54 GMT",0
5766,physics,"Fri, 02 Nov 2018 17:08:06 GMT","Fri, 02 Nov 2018 21:35:46 GMT",54839
5765,physics,"Fri, 02 Nov 2018 13:43:18 GMT","Fri, 02 Nov 2018 17:01:24 GMT",35379
5764,physics,"Fri, 02 Nov 2018 13:35:30 GMT","Fri, 02 Nov 2018 13:37:49 GMT",0
5763,physics,"Fri, 02 Nov 2018 13:25:44 GMT","Fri, 02 Nov 2018 13:27:04 GMT",0
5762,physics,"Fri, 02 Nov 2018 12:01:53 GMT","Fri, 02 Nov 2018 13:09:52 GMT",6628
5761,test,"Fri, 02 Nov 2018 10:57:12 GMT","Fri, 02 Nov 2018 11:27:07 GMT",0
5760,physics,"Fri, 02 Nov 2018 08:04:00 GMT","Fri, 02 Nov 2018 10:09:49 GMT",26226
5759,physics,"Thu, 01 Nov 2018 23:17:15 GMT","Fri, 02 Nov 2018 07:44:33 GMT",95775
5758,physics,"Thu, 01 Nov 2018 18:45:14 GMT","Thu, 01 Nov 2018 22:43:42 GMT",51042
5757,physics,"Thu, 01 Nov 2018 18:29:32 GMT","Thu, 01 Nov 2018 18:32:20 GMT",0
5756,physics,"Thu, 01 Nov 2018 17:51:36 GMT","Thu, 01 Nov 2018 18:23:18 GMT",0
5755,cosmics,"Thu, 01 Nov 2018 15:44:29 GMT","Thu, 01 Nov 2018 17:06:58 GMT",0
5754,cosmics,"Thu, 01 Nov 2018 14:50:02 GMT","Thu, 01 Nov 2018 15:13:08 GMT",0
5753,calibration,"Thu, 01 Nov 2018 14:30:27 GMT","Thu, 01 Nov 2018 15:10:05 GMT",0
5752,cosmics,"Thu, 01 Nov 2018 14:26:21 GMT","Thu, 01 Nov 2018 14:47:08 GMT",0
5751,cosmics,"Thu, 01 Nov 2018 13:51:44 GMT","Thu, 01 Nov 2018 14:01:33 GMT",0
5750,calibration,"Thu, 01 Nov 2018 12:40:24 GMT","Thu, 01 Nov 2018 12:45:37 GMT",0
5749,calibration,"Thu, 01 Nov 2018 12:35:15 GMT","Thu, 01 Nov 2018 12:38:17 GMT",0
5748,calibration,"Thu, 01 Nov 2018 12:25:27 GMT","Thu, 01 Nov 2018 12:31:39 GMT",0
5747,calibration,"Thu, 01 Nov 2018 12:15:15 GMT","Thu, 01 Nov 2018 12:20:43 GMT",0
5746,calibration,"Thu, 01 Nov 2018 12:09:57 GMT","Thu, 01 Nov 2018 12:13:44 GMT",0
5745,calibration,"Thu, 01 Nov 2018 12:01:10 GMT","Thu, 01 Nov 2018 12:06:02 GMT",0
5744,calibration,"Thu, 01 Nov 2018 11:50:47 GMT","Thu, 01 Nov 2018 11:59:49 GMT",0
5743,calibration,"Thu, 01 Nov 2018 11:43:53 GMT","Thu, 01 Nov 2018 11:49:26 GMT",0
5742,calibration,"Thu, 01 Nov 2018 11:38:46 GMT","Thu, 01 Nov 2018 11:42:10 GMT",0
5741,calibration,"Thu, 01 Nov 2018 11:13:32 GMT","Thu, 01 Nov 2018 11:34:11 GMT",0
5740,calibration,"Thu, 01 Nov 2018 11:09:53 GMT","Thu, 01 Nov 2018 11:11:54 GMT",0
5739,calibration,"Thu, 01 Nov 2018 11:06:11 GMT","Thu, 01 Nov 2018 11:08:23 GMT",0
5738,calibration,"Thu, 01 Nov 2018 10:58:41 GMT","Thu, 01 Nov 2018 11:04:22 GMT",0
5737,calibration,"Thu, 01 Nov 2018 10:48:03 GMT","Thu, 01 Nov 2018 10:55:19 GMT",0
5736,calibration,"Thu, 01 Nov 2018 10:41:42 GMT","Thu, 01 Nov 2018 10:44:16 GMT",0
5735,cosmics,"Thu, 01 Nov 2018 05:46:59 GMT","Thu, 01 Nov 2018 10:00:21 GMT",0
5734,cosmics,"Thu, 01 Nov 2018 05:41:09 GMT","Thu, 01 Nov 2018 05:43:27 GMT",0
5733,cosmics,"Thu, 01 Nov 2018 03:52:03 GMT","Thu, 01 Nov 2018 05:28:11 GMT",0
